| Timestamp           | Temperature | Humidity | Soil Moisture | Rain | Flow (L/min) | Motor Status |
| 7/4/2025, 3:07:39 pm | 30°C      | 60.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:32 pm | 30.1°C      | 60.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:26 pm | 30.1°C      | 60.4%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:21 pm | 30.1°C      | 60.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:14 pm | 30.1°C      | 60.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:09 pm | 30.2°C      | 60.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:07:03 pm | 30.2°C      | 60.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:57 pm | 30.3°C      | 60.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:51 pm | 30.3°C      | 60.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:45 pm | 30.3°C      | 59.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:39 pm | 30.4°C      | 59.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:33 pm | 30.4°C      | 57.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:27 pm | 30.4°C      | 59.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:20 pm | 30.5°C      | 67%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:14 pm | 30.4°C      | 30.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:08 pm | 30.2°C      | 61.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:06:02 pm | 30.2°C      | 61.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:05:55 pm | 30.3°C      | 61.4%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:05:49 pm | 30.3°C      | 61.3%      | 63%           | No       | 0.00         | OFF     |
